Code,General Facilities,Facility Count,Room Type Number
42,"Toilet paper, Towels, Bidet, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Extra long beds (> 6.5 ft), Picnic area, Outdoor furniture, Outdoor dining area, Patio, Terrace, Garden, Dining table, Cleaning products, Electric kettle, Refrigerator, Socket near the bed, Fold-up bed, Clothes rack, Bicycle rentalAdditional charge, Walking toursAdditional charge, Badminton equipment, Evening entertainment, HikingAdditional charge, Playground, Dining area, Sitting area, Wine/ChampagneAdditional charge, Kid-friendly buffet, Kids' meals, Special diet meals (on request), Snack bar, Breakfast in the room, Minibar, Restaurant, Tea/Coffee maker, Valet parking, Street parking, Invoice provided, Lockers, Private check-in/out, Concierge, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Strollers, Baby safety gates, Outdoor play equipment for kids, Board games/Puzzles, Board games/puzzles, Child safety socket covers, Daily housekeeping, Ironing serviceAdditional charge, Dry cleaningAdditional charge, LaundryAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shuttle serviceAdditional charge, Carbon monoxide detector, Grocery deliveriesAdditional charge, Convenience store on site, Hypoallergenic, Designated smoking area, Air conditioning, Mosquito net, Wake-up service, Tile/Marble floor, Heating, Soundproof, Private entrance, Car rental, Packed lunches, Chapel/Shrine, Soundproof rooms, Fan, Family rooms, Ironing facilities, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Wake-up service/Alarm clock, Room service, Entire unit located on ground floor, Beach umbrellas, SaunaAdditional charge, English, Armenian, Russian",101,6
43,"Terrace, Garden, Spa/Wellness packages, Spa lounge/Relaxation area, Steam room, Spa facilities, Hot tub/Jacuzzi, SpaAdditional charge, Sauna, Bar, Family rooms, Non-smoking rooms, English, Armenian, Russian",15,4
44,"Toilet paper, Towels, Towels/Sheets (extra fee), Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Walk-in closet, Inner courtyard view, View, Picnic area, Outdoor furniture, Sun deck, BBQ facilities, Balcony, Terrace, Garden, Dining table, Electric kettle, Washing machine, Microwave, Sofa bed, Fold-up bed, Clothes rack, Walking toursAdditional charge, Badminton equipment, Darts, Dining area, Sofa, Fireplace, Sitting area, Desk, Flat-screen TV, Breakfast in the room, Tea/Coffee maker, Wake-up service, 24-hour front desk, Room service, Outdoor play equipment for kids, Board games/Puzzles, Fire extinguishers, CCTV in common areas, Smoke alarms, 24-hour security, Smoke-free property, Hardwood or parquet floors, Tile/Marble floor, Heating, Soundproof, Private entrance, Carpeted, Family rooms, Ironing facilities, Non-smoking rooms, Iron, English, Russian",61,1
45,"Picnic area, BBQ facilities, Terrace, Garden, Tour or class about local cultureAdditional charge, Tennis equipment, Horseback riding, Ping-pong, Wine/ChampagneAdditional charge, Kids' meals, Bar, Restaurant, Street parking, Private check-in/out, ATM on site, Tour desk, Currency exchange, Express check-in/outAdditional charge, 24-hour front desk, Ironing serviceAdditional charge, Smoke alarms, 24-hour security, Shuttle serviceAdditional charge, Convenience store on site, Heating, Chapel/Shrine, Family rooms, Hair/Beauty salon, Airport shuttleAdditional charge, Non-smoking rooms, English, Russian",32,2
46,"Dining table, Cleaning products, Oven, Dryer, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Wardrobe or closet, Walk-in closet, Extra long beds (> 6.5 ft), Toilet paper, Guest bathroom, Bathtub or shower, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Bathtub, Shower, Dining area, Sofa, Fireplace, Sitting area, Flat-screen TV, Cable channels, Satellite channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hardwood or parquet floors, Private entrance, Carpeted, Fan, Iron, Hot tub, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Balcony, Terrace, Garden, Tea/Coffee maker, Landmark view, Garden view, View, Private check-in/out, Express check-in/out, Designated smoking area, Heating, Family rooms, Non-smoking rooms, Key access, English, Armenian, Russian",64,1
47,"Toilet paper, Towels, Bathtub or shower, Private bathroom, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, View, Outdoor fireplace, Picnic area, Outdoor furniture, Terrace, Garden, Shared kitchen, Refrigerator, Clothes rack, Accessible parking, Shuttle serviceAdditional charge, Shared lounge/TV area, Fire extinguishers, CCTV outside property, Smoke alarms, 24-hour security, SafeAdditional charge, Hardwood or parquet floors, Heating, Soundproof, Private entrance, Soundproof rooms, Family rooms, Non-smoking rooms, SaunaAdditional charge, Armenian, Russian",36,2
48,"Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Hairdryer, Shower, Dining area, Sofa, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Hypoallergenic, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Ironing facilities, Iron, Upper floors accessible by stairs only, Entire unit located on ground floor, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Private pool, BBQ facilities, Patio, Terrace, Garden, Opening times, Seasonal(temporarily closed), All ages welcome, Plunge pool, Pool/Beach towels, Beach umbrellas, Seasonal(temporarily closed), All ages welcome, Plunge pool, Pool/Beach towels, Beach umbrellas, Kids' pool, Beach umbrellas, Wine/ChampagneAdditional charge, Grocery deliveriesAdditional charge, Tea/Coffee maker, Tour or class about local cultureAdditional charge, Happy hour, Walking toursAdditional charge, Badminton equipment, HikingAdditional chargeOff-site, Inner courtyard view, City view, Landmark view, Mountain view, Pool view, Garden view, View, Semi-detached, Detached, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Lockers, Private check-in/out, Baggage storage, Strollers, Outdoor play equipment for kids, Board games/Puzzles, Books, DVDs or music for children, Board games/puzzles, Child safety socket covers, Playground, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, Dry cleaningAdditional charge, LaundryAdditional charge, Designated smoking area, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Key access, 24-hour security, English, Russian",114,1
49,"Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Garden view, View, Outdoor fireplace, Picnic area, Outdoor furniture, Sun deck, BBQ facilitiesAdditional charge, Terrace, Garden, Cleaning products, Electric kettle, Refrigerator, Socket near the bed, Drying rack for clothing, Clothes rack, Live sports events (broadcast), Live music/PerformanceAdditional charge, Tour or class about local cultureAdditional charge, Happy hour, Themed dinnersAdditional charge, Walking toursAdditional charge, Movie nights, Stand-up comedyAdditional charge, Bar crawls, Temporary art galleries, Evening entertainment, Nightclub/DJAdditional charge, HikingAdditional chargeOff-site, Desk, Streaming service (like Netflix), Flat-screen TV, Cable channels, Satellite channels, TV, FruitAdditional charge, Wine/ChampagneAdditional charge, Special diet meals (on request), Snack bar, Breakfast in the room, BarAdditional charge, Minibar, Restaurant, Tea/Coffee maker, Invoice provided, Private check-in/out, Concierge, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Board games/Puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/Photocopying, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shuttle serviceAdditional charge, Pet bowls, Pet basket, Grocery deliveriesAdditional charge, Adults only, Shared lounge/TV area, Vending machine (snacks), Vending machine (drinks), Designated smoking area, Air conditioning, Smoke-free property, Hypoallergenic room available, Mosquito net, Wake-up service, Hardwood or parquet floors, Heating, Soundproof, Packed lunches, Carpeted, Soundproof rooms, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Arabic, English, French, Armenian, Italian, Georgian, Russian, Turkish",107,6
50,"Picnic area, Outdoor furniture, Terrace, Garden, Fruit, Kid-friendly buffet, Private check-in/out, LaundryAdditional charge, 24-hour front desk, Invoice provided, Smoke-free property, Family rooms, Non-smoking rooms, English, Armenian, Russian",16,4
51,"Picnic area, BBQ facilities, Terrace, Garden, Live music/Performance, Happy hour, Walking tours, Kids' club, Ping-pong, Pool tableAdditional charge, FruitAdditional charge, Wine/ChampagneAdditional charge, Bar, Restaurant, Electric vehicle charging station, 24-hour front desk, Meeting/Banquet facilitiesAdditional charge, Room service, 24-hour security, Convenience store on site, Air conditioning, Smoke-free property, Family rooms, Non-smoking rooms, Fitness, Beach umbrellas, Beach chairs/Loungers, Fitness center, Sauna, English, Russian",31,9
52,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilitiesAdditional charge, Terrace, Garden, Dining table, Electric kettle, Refrigerator, Socket near the bed, Clothes rack, Darts, Desk, Tea/Coffee maker, Shuttle serviceAdditional charge, Grocery deliveriesAdditional charge, Private check-in/out, Baggage storage, Express check-in/out, Airport shuttleAdditional charge, Invoice provided, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Designated smoking area, Hypoallergenic room available, Mosquito net, Heating, Private entrance, Family rooms, Non-smoking rooms, English, Armenian, Russian",51,6
53,"Parking garage, Shared kitchen, Dining table, Cleaning products, Stovetop, Oven, Dryer, Kitchenware, Electric kettle, Kitchen, Washing machine, Dishwasher, Microwave, Refrigerator, Wardrobe or closet, Toilet paper, Towels, Bathtub or shower, Slippers, Free toiletries, Shared bathroom, Hairdryer, Shower, Sofa, Fireplace, Flat-screen TV, Cable channels, Video games, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Mosquito net, Tile/Marble floor, Soundproof, Ironing facilities, Iron, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Barbecue, Private pool, BBQ facilities, Balcony, Terrace, Garden, Seasonal(temporarily closed), All ages welcome, Pool with view, Pool/Beach towels, Beach chairs/Loungers, Beach umbrellas, Beach umbrellas, Beach chairs/Loungers, Inner courtyard view, Mountain view, Pool view, Garden view, View, Detached, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Board games/Puzzles, Board games/puzzles, Pet bowls, Designated smoking area, Air conditioning, Heating, Soundproof rooms, Non-smoking rooms, CCTV outside property, Key access, English, Russian",78,1
54,"Toilet paper, Bathtub or shower, Private bathroom, Toilet, Hairdryer, Shower, Wardrobe or closet, Outdoor dining area, Terrace, Garden, Dryer, Electric kettle, Drying rack for clothing, Clothes rack, Tour or class about local cultureAdditional charge, Flat-screen TV, TV, Bar, Restaurant, Airport shuttleAdditional charge, 24-hour front desk, Room service, Hardwood or parquet floors, Soundproof, Heating, Family rooms, Non-smoking rooms, English, Armenian, Russian",30,4
55,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Garden view, View, Picnic area, Outdoor furniture, BBQ facilities, Garden, Electric kettle, Refrigerator, Socket near the bed, Tour or class about local cultureAdditional charge, Walking toursAdditional charge, Badminton equipment, Kids' club, Hiking, Ping-pong, Pool table, Playground, Desk, Flat-screen TV, Satellite channels, Telephone, TV, FruitAdditional charge, Wine/ChampagneAdditional charge, Special diet meals (on request), Snack bar, Breakfast in the room, Bar, Minibar, Restaurant, Parking garage, Private check-in/out, Tour desk, Currency exchange, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Board games/Puzzles, Board games/puzzles, Babysitting/Child servicesAdditional charge, Daily housekeeping, Ironing serviceAdditional charge, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Key access, 24-hour security, Shuttle serviceAdditional charge, Shared lounge/TV area, Designated smoking area, Wake-up service, Heating, Soundproof, Private entrance, Packed lunches, Carpeted, Soundproof rooms, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Wake-up service/Alarm clock, Room service, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, MassageAdditional charge, English, Russian",84,5
56,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Inner courtyard view, River view, Landmark view, Mountain view, Garden view, View, Outdoor fireplace, Picnic area, Balcony, Terrace, Garden, Dining table, Electric kettle, Socket near the bed, Clothes rack, ArcheryAdditional charge, Badminton equipment, HikingAdditional charge, Darts, Playground, Fishing, Flat-screen TV, Cable channels, TV, Wine/ChampagneAdditional charge, Kids' meals, Bar, Restaurant, Street parking, Accessible parking, Invoice provided, Lockers, Baggage storageAdditional charge, 24-hour front desk, Outdoor play equipment for kids, Board games/Puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Key card access, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Air conditioning, Hardwood or parquet floors, Heating, Private entrance, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Upper floors accessible by stairs only, English, Armenian, Russian",71,4
57,"Towels, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Linens, Wardrobe or closet, City view, Landmark view, Mountain view, View, Outdoor furniture, Sun deck, Terrace, Dryer, Washing machine, Drying rack for clothing, Sitting area, Invoice provided, Lockers, Private check-in/out, Baggage storage, Express check-in/out, Board games/Puzzles, Daily housekeeping, Fax/PhotocopyingAdditional charge, Business centerAdditional charge, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key card access, 24-hour security, Safe, Designated smoking area, Air conditioning, Smoke-free property, Heating, Soundproof, Soundproof rooms, Elevator, Family rooms, Ironing facilities, Suit press, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Upper floors accessible by stairs only, English, Armenian, Russian",54,4
58,"Private bathroom, Toilet, Hairdryer, Shower, Wardrobe or closet, Picnic area, BBQ facilitiesAdditional charge, Terrace, Garden, Refrigerator, Karaoke, Ping-pong, Pool tableAdditional charge, Playground, Game room, Fishing, Tennis court, TV, Special diet meals (on request), Breakfast in the room, Bar, Restaurant, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Board games/Puzzles, Babysitting/Child servicesAdditional charge, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Smoke-free property, Heating, Packed lunches, Carpeted, Family rooms, Non-smoking rooms, Room service, English, Russian",39,2
59,"Kitchen, Washing machine, Refrigerator, Toilet paper, Towels, Bidet, Bathtub or shower, Slippers, Private bathroom, Toilet, Bathtub, Shower, Fireplace, Sitting area, Private entrance, Hot tub, Outdoor fireplace, Picnic area, Balcony, Terrace, Garden, Sauna, Tea/Coffee maker, Walking tours, Hiking, Landmark view, Mountain view, Garden view, View, Shuttle service, Airport shuttleAdditional charge, Private check-in/out, Laundry, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Fire extinguishers, English, Armenian, Russian",41,1
60,"Dining table, Cleaning products, Stovetop, Oven, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Linens, Toilet paper, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Flat-screen TV, TV, Fold-up bed, Clothes rack, Heating, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, Balcony, Terrace, Garden, Shared lounge/TV area, Tea/Coffee maker, Inner courtyard view, Mountain view, Garden view, View, Detached, Outdoor play equipment for kids, Air conditioning, Family rooms, Non-smoking rooms, English, Armenian, Russian",47,1
61,"Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Bidet, Towels/Sheets (extra fee), Guest bathroom, Bathtub or shower, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Desk, Streaming service (like Netflix), Flat-screen TV, Cable channels, Satellite channels, Video, Radio, Telephone, TV, Pay-per-view channels, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Electric blankets, Hypoallergenic, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Carpeted, Fan, Ironing facilities, Iron, Upper floors accessible by stairs only, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Garden, Shared lounge/TV area, Coffee house on site, Grocery deliveriesAdditional charge, Special diet meals (on request), Packed lunches, Room service, Restaurant, Tea/Coffee maker, Tour or class about local cultureAdditional charge, Executive lounge access, Inner courtyard view, City view, Landmark view, Mountain view, Garden view, View, Semi-detached, Detached, Bicycle rentalAdditional charge, Shuttle serviceAdditional charge, Car rental, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Tour desk, Currency exchange, Express check-in/out, 24-hour front desk, Baby safety gates, Outdoor play equipment for kids, Board games/Puzzles, Baby safety gates, Board games/puzzles, Child safety socket covers, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, Dry cleaningAdditional charge, Convenience store on site, Hair/Beauty salon, Designated smoking area, Air conditioning, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key card access, Key access, Carbon monoxide detector, English, Farsi, Armenian, Russian",122,1
62,"Dining table, Cleaning products, Stovetop, Oven, Electric kettle, Kitchen, Washing machine, Refrigerator, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Bidet, Towels/Sheets (extra fee), Guest bathroom, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Desk, Streaming service (like Netflix), Blu-ray player, Computer, Flat-screen TV, Cable channels, Satellite channels, Video games, Video, Radio, Telephone, TV, Pay-per-view channels, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Electric blankets, Hypoallergenic, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Carpeted, Fan, Ironing facilities, Suit press, Iron, Upper floors accessible by stairs only, Entire unit located on ground floor, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Private pool, Patio, Terrace, Garden, Shared lounge/TV area, Seasonal, Beach umbrellas, Beach chairs/Loungers, Minibar, Tea/Coffee maker, Executive lounge access, Inner courtyard view, City view, Landmark view, Mountain view, Pool view, Garden view, View, Semi-detached, Detached, Shuttle serviceAdditional charge, Car rental, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Tour desk, Currency exchange, Express check-in/out, Baby safety gates, Child safety socket covers, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, Dry cleaningAdditional charge, Designated smoking area, Air conditioning, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, Smoke alarms, Security alarm, Key card access, Key access, Carbon monoxide detector, English, Farsi, Armenian, Russian",116,1
63,"Parking garage, Shared kitchen, Dining table, Cleaning products, Kitchenware, Electric kettle, Refrigerator, Linens, Wardrobe or closet, Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Shared toilet, Private bathroom, Toilet, Free toiletries, Shared bathroom, Bathtub, Shower, Dining area, Sofa, Sitting area, Flat-screen TV, TV, Socket near the bed, Fold-up bed, Clothes rack, Mosquito net, Soundproof, Private entrance, Interconnecting room(s) available, Fan, Ironing facilities, Iron, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Private pool, BBQ facilities, Balcony, Terrace, Garden, Shared lounge/TV area, Kids' pool, Beach umbrellas, Open-air bath, Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Kids' mealsAdditional charge, Grocery deliveriesAdditional charge, Special diet meals (on request), Breakfast in the room, Room service, Tea/Coffee maker, Live music/PerformanceAdditional chargeOff-site, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Themed dinnersAdditional charge, Walking tours, Water parkAdditional chargeOff-site, Ski-in, ski-out access, Ski storage, CyclingOff-site, HikingOff-site, Skiing, FishingAdditional chargeOff-site, Executive lounge access, Inner courtyard view, City view, Landmark view, Mountain view, Pool view, Garden view, View, Semi-detached, Detached, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Express check-in/out, 24-hour front desk, Baby safety gates, Outdoor play equipment for kids, Playground, Daily housekeepingAdditional charge, Laundry, Meeting/Banquet facilities, Wheelchair accessible, Designated smoking area, Smoke-free property, Heating, Soundproof rooms, Family rooms, Facilities for disabled guests, Non-smoking rooms, Russian",102,1
64,"Kitchen, Washing machine, Kitchenette, Toilet paper, Bidet, Bathtub or shower, Private bathroom, Toilet, Free toiletries, Shower, Flat-screen TV, Cable channels, Satellite channels, TV, Pay-per-view channels, Heating, Terrace, Garden, Minibar, Garden view, View, Air conditioning, Smoke-free property, Family rooms, Non-smoking rooms, English, Russian",27,1
65,"Shared kitchen, Dining table, Coffee machine, Cleaning products, Toaster, Stovetop, Oven, Kitchenware, Electric kettle, Kitchen, Washing machine, Dishwasher, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Toilet paper, Towels, Additional bathroom, Guest bathroom, Bathtub or shower, Slippers, Shared toilet, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, Video, CD player, DVD player, Radio, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Hypoallergenic, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Ironing facilities, Iron, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Garden, Shared lounge/TV area, Game room, Tea/Coffee maker, Badminton equipment, Tennis equipment, Ski storage, Hiking, Darts, Ping-pong, Skiing, Wake-up service, Inner courtyard view, City view, Mountain view, Pool view, Garden view, View, Detached, Shuttle serviceAdditional charge, Invoice provided, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Books, DVDs or music for children, Board games/puzzles, Child safety socket covers, Playground, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, LaundryAdditional charge, Meeting/Banquet facilities, Designated smoking area, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Safe, English, Russian",115,1
66,"Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Extra long beds (> 6.5 ft), Toilet paper, Towels, Bathtub or shower, Slippers, Toilet, Bathrobe, Hairdryer, Shower, Sofa, Sitting area, Desk, Flat-screen TV, Sofa bed, Drying rack for clothing, Clothes rack, Tile/Marble floor, Private entrance, Heating, Hearing accessible, Entire unit wheelchair accessible, Entire unit located on ground floor, Balcony, Terrace, Garden, Minibar, Tea/Coffee maker, Garden view, View, Detached, Baby safety gates, Books, DVDs or music for children, Board games/puzzles, Child safety socket covers, Family rooms, Non-smoking rooms, Carbon monoxide detector, German, English, French, Russian",52,1
67,"Cleaning products, Kitchen, Washing machine, Wardrobe or closet, Toilet paper, Guest bathroom, Bathtub or shower, Slippers, Shared toilet, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Sofa, Sitting area, Flat-screen TV, TV, Socket near the bed, Sofa bed, Clothes rack, Tile/Marble floor, Private entrance, Heating, Private pool, BBQ facilities, Balcony, Terrace, Garden, Garden view, View, Air conditioning, Family rooms, Non-smoking rooms, English, Russian",36,1
68,"High chair, Dining table, Cleaning products, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Linens, Wardrobe or closet, Toilet paper, Towels, Guest bathroom, Bathtub or shower, Slippers, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Desk, Game console - PS3, Flat-screen TV, Cable channels, Satellite channels, TV, Socket near the bed, Sofa bed, Clothes rack, Mosquito net, Hardwood or parquet floors, Private entrance, Carpeted, Fan, Ironing facilities, Iron, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Garden, Tea/Coffee maker, Horseback ridingAdditional chargeOff-site, HikingAdditional chargeOff-site, FishingAdditional chargeOff-site, Inner courtyard view, City view, Mountain view, Garden view, View, Detached, Bicycle rentalAdditional charge, Airport shuttleAdditional charge, Board games/puzzles, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, LaundryAdditional charge, Convenience store on site, Heating, Non-smoking rooms, English, Russian",70,1
69,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, View, Outdoor fireplace, Picnic area, Outdoor furniture, BBQ facilities, Terrace, Garden, Refrigerator, Socket near the bed, Clothes rack, HikingAdditional charge, Ping-pong, Pool table, Playground, Sofa, Sitting area, Flat-screen TV, Cable channels, Satellite channels, TV, Kids' meals, Special diet meals (on request), Breakfast in the room, Bar, Restaurant, Valet parking, Express check-in/out, 24-hour front desk, Board games/Puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Business center, Meeting/Banquet facilitiesAdditional charge, CCTV outside property, CCTV in common areas, Key access, Shuttle serviceAdditional charge, Shared lounge/TV area, Wake-up service, Heating, Packed lunches, Carpeted, Fan, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Upper floors accessible by stairs only, English, Russian",62,3
70,"Kitchen, Washing machine, Private bathroom, Flat-screen TV, Balcony, Terrace, Garden, Smoke-free property, Heating, Family rooms, Non-smoking rooms, English, Russian",13,1
71,"Toilet paper, Towels, Bidet, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Shower, Linens, Wardrobe or closet, Outdoor furniture, Terrace, Garden, Kitchenware, Electric kettle, Socket near the bed, Drying rack for clothing, Clothes rack, Desk, Tea/Coffee maker, Invoice provided, Lockers, Concierge, Baggage storage, Tour desk, Board games/Puzzles, Daily housekeeping, Ironing service, Laundry, Fax/Photocopying, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shared lounge/TV area, Designated smoking area, Smoke-free property, Hardwood or parquet floors, Heating, Carpeted, Family rooms, Ironing facilities, Non-smoking rooms, Arabic, English, French, Armenian, Russian",54,1
